S.N.,Product Name,Unit,Price,Categories,Images,Remarks ,,
1,Fresh Chicken,,310,"Chicken, Fresh",,,,
2,Neck and Liverless Chicken,,330,"Chicken, Neck, Liverless ",,,,
3,Boneless Breast and Leg,,570,"Chicken, Boneless Breast, Boneless Leg",,,,
4,Chicken Drumstick,,330,"Chicken, Drumstick",,,,                 
5,Chicken Gizzard,,310,"Chicken, Gizzard",,,,
6,Chicken Liver,,100,"Chicken, Liver",,,,
7,Chicken Mince,,540,"Chicken, Mince",,,,
8,Chicken Back Bone,,80,"Chicken, Back Bone",,,,
9,Chicken Leg And Head,,50,"Chicken, Leg, Head",,,,
10,Chicken Lolly,,400,"Chicken, Lolly",,,,
11,Fresh Mutton,,1350,"Mutton, Fresh",,,,
12,Mutton,,,Mutton,,,,
13,Mutton Boneless,,,"Mutton, Boneless",,,,
14,Mutton Head,,,"Mutton, Head",,,,
15,Mutton Leg,,,"Mutton, Leg",,,,
16,Vutton,,,"Mutton, Vutton",,,,
17,Boka,,,"Mutton, Boka",,,,
18,Frozen Mutton,,,"Mutton, Mutton",,,,
19,Chicken Hotdog,500gm,495,"Chicken, Hotdog",,,,
20,Chicken Sausage,400gm,395,"Chicken, Sausage",Chicken-Sausage-400gm.jpg,,,
21,Chicken Sausage,200gm,205,"Chicken, Sausage",,,,
22,Chicken Cocktail Sausage,500gm,495,"Chicken, Cocktail, Sausage","Chicken-Sausage-500gm-01.jpg, Chicken-Sausage-500gm.jpg",,,
23,Chicken Breakfast Sausage,400gm,395,"Chicken, Breakfast, Sausage",,,,
24,Chicken Salami/Pepperoni,200gm,215,"Chicken, Salami, Pepperoni",Chicken-Pepperoni-Salami-200gm.jpg,,,
25,Chicken Salami/Pepperoni,1 kg,1070,"Chicken, Salami, Pepperoni",,,,
26,Chicken Ham Slice,400gm,500,"Chicken, Ham, Slice",,,,
27,Chicken Meat Ball,1kg,800,"Chicken, Meat Ball",,,,
28,Chicken Meat Ball,400gm,320,"Chicken, Meat Ball","Chicken-Meatball-400gm-01.jpg, Chicken-Meatball-400gm.jpg",,,
29,Chicken Meat Ball ,200gm,170,"Chicken, Meat Ball",Chicken-Meatball-200gm.jpg,,,
30,Chicken Bratwurst Sausage,400gm,455,"Chicken, Bratwurst, Sausage",,,,
31,Chicken Seekh  Kebab,400gm,470,"Chicken, Seekh Kebab",,,,
32,Chicken Seekh  Kebab,200gm,235,"Chicken, Seekh Kebab",Chicken-Seekh-Kebab-200gm.jpg,,,
33,Chicken Mince,500gm,450,"Chicken, Mince",Chicken_Mince-500gm.jpg,,,
34,Smokey Chicken Breast/Leg,500gm ,750,"Chicken, Smokey Breast, Smokey Leg",,,,
35,Buff Hotdog Sausage,500gm,440,"Buff, Hotdog Sausage",,,,
36,Buff Sausage,400gm,360,"Buff, Sausage",,,,
37,Buff Sausage,200gm,185,"Buff, Sausage",,,,
38,Buff Salami (Roll),1Kg,950,"Buff, Salami(Roll)",,,,
39,Buff Salami,200gm,190,"Buff, Salami",,,,
40,Buff Mince,500gm,400,"Buff, Mince",Buff_mince-500gm.jpg,,,
41,Pork Sausage,400gm,400,"Pork, Sausage",Pork-Sausage-400gm-02.jpg,,,
42,Pork Sausage,200gm,205,"Pork, Sausage",Pork-Sausage-200gm-01.jpg,,,
43,Pork Ham Slice,400gm ,550,"Pork, Ham, Slice",,,,
44,Bacon Slice,1kg,1850,"Pork, Bacon, Slice",,,,
45,Bacon Slice ,400gm,750,"Pork, Bacon, Slice",,,,
46,Bacon Slice,200gm,380,"Pork, Bacon, Slice",,,,
47,Pork Chop,1kg,1500,"Pork, Chop",,,,
48,Pork Belly With Skin,1kg,904,"Pork, Belly with Skin",,,,
49,Pork Belly Slice,500gm,450,"Pork, Belly Slice",,,,
50,Pork Mince,500gm,600,"Pork, Mince",,,,
51,Pork Pepperoni Salami (Roll),1kg,1350,"Pork, Pepperoni Salami(Roll)",,,,
52,Pork Pepperoni Salami (Roll),200gm,275,"Pork, Pepperoni Salami(Roll)",,,,
53,Chicken MoMo 50 Pcs,PKT,600,"Chicken, Mo:Mo",,,,
54,Chicken MoMo20 Pcs,PKT,250,"Chicken, Mo:Mo",,,,
55,Buff MoMo 50 Pcs,Pkt,550,"Buff, Mo:Mo",,,,
56,Buff MoMo 20 Pcs,PKT,225,"Buff, Mo:Mo",,,,
57,Veg MoMo 50 Pcs,PKT,480,"Veg, Mo:Mo",,,,
58,Veg MoMo 20 Pcs,PKT,200,"Veg, Mo:Mo",,,,
59,Pork MoMo 50 Pcs,PKT,700,"Pork, Mo:Mo",,,,
60,Pork MoMo 20 Pcs,PKT,290,"Pork, Mo:Mo",,,,
61,Veg Sausage,400gm,300,"Veg, Sausage",,,,
62,Fish Sausage,400gm,360,"Fish, Sausage",,,,
63,French fry 1 Kg,PKT,270,"Potato, French Fry",,,,
64,French fry 2.5 Kg,PKT,675,"Potato, French Fry",,,,
65,Aalo Tikki ,1kg,500,"Potato, Aalo Tikki",Aloo-Tikki-500gm-02.jpg,,,
66,Aalo Tikki ,500gm,260,"Potato, Aalo Tikki",Aloo-Tikki-500gm-01.jpg,,,
67,Aalo Tikki ,200gm,110,"Potato, Aalo Tikki",Aloo-Tikki-200gm.jpg,,,
68,Chicken Burger Patty,20pcs,950,"Burger, Chicken Burger Patty",,,,
69,Chicken Burger Patty,10Pcs,500,"Burger, Chicken Burger Patty","Chicken-Burger-Patty-10pcs-01.jpg, Chicken-Burger-Patty-10pcs-02.jpg, Veg-Nuggets-200gm-03.jpg",,,
70,Chicken Burger Patty,5Pcs,250,"Burger, Chicken Burger Patty",,,,
71,Veg Burger Patty,20Pcs,650,"Burger, Veg Burger Patty",,,,
72,Veg Burger Patty,10Pcs,350,"Burger, Veg Burger Patty",,,,
73,Veg Burger Patty,4Pcs,160,"Burger, Veg Burger Patty",,,,
74,Veg Cutlet,300gm,285,"Cutlet, Veg",,,,
75,Fish Cutlet,300gm,450,"Cutlet, Fish",,,,
76,Chicken Cutlet (6Pcs),400gm,380,"Cutlet, Chicken","Chicken-Cutlet-400gm-01.jpg, Chicken-Cutlet-400gm-02.jpg",,,
77,Fish Finger,1kg,900,"Finger, Fish",,,,
78,Fish Finger,400gm,370,"Finger, Fish",,,,
79,Fish Finger,200gm,190,"Finger, Fish",Fish-Finger-200gm.jpg,,,
80,Chicken Nuggets,1kg,850,"Chicken, Nuggets",Chicken-Nuggets-1kg.jpg,,,
81,Chicken Nuggets,500gm,425,"Chicken, Nuggets","Chicken-Nuggets-500gm-01.jpg, Chicken-Nuggets-500gm-02.jpg",,,
82,Chicken Nuggets,200gm,180,"Chicken, Nuggets",Chicken-Nuggets-200gm.jpg,,,
83,Veg Nuggets,1kg,700,"Veg, Nuggets",Veg-Nuggets-1kg.jpg,,,
84,Veg Nuggets,500gm,350,"Veg, Nuggets",Veg-Nuggets-500gm.jpg,,,
85,Veg Nuggets,200gm,150,"Veg, Nuggets","Veg-Nuggets-200gm-01.jpg, Veg-Nuggets-200gm-02.jpg",,,
86,Fish Ball,1kg,900,"Fish, Ball",,,,
87,Fish Ball,400gm,360,"Fish, Ball",Fish-Ball-400gm-02.jpg,,,
88,Fish Ball,200gm,190,"Fish, Ball",Fish-Ball-200gm-01.jpg,,,
89,Cheese Ball ,1kg,600,"Cheese, Ball",,,,
90,Cheese Ball ,400gm,240,"Cheese, Ball",Cheese-Ball-400gm.jpg,,,
91,Cheese Ball ,200gm,130,"Cheese, Ball","Cheese-Ball-200gm-01.jpg, Cheese-Ball-200gm-02.jpg",,,
92,Basa Fish,1kg,400,"Fish, Basa","Basa-Fish-1kg.jpg, Basa-Frozen-Steak-1kg.jpg",,,
93,Green Peas,1kg,200,Green Peas,,,,
94,Sweet Corn,1kg,200,Sweet Corn,,,,
